功能类型,接口/配置字段,,配置名,接口/配置说明,,参数,参数使用注意说明（仅供内部参考，给客户时需要去掉此列）,参数说明,影响,可选配置,,默认值,,"特殊要求
（内部评审时不要删掉该列）",合唱主播/单唱主播/语聊主持人,,麦上普通语聊主播,,麦下观众,,备注（仅供内部参考，给客户时需要去掉此列）,配置原因,"兼容性考量
（仅供内部参考，给客户时需要去掉此列）",友商配置（如果涉及多家，都列出来）
视频功能,enableCamera,,初始摄像头开关,摄像头开关,,enable,"音视频 SDK，在预览、推流、以主播角色启动引擎等时候，会默认打开摄像头。
iOS 在没有关闭摄像头的情况下，执行预览或者开始推流等操作，会主动弹窗向用户申请权限。

1、当客户场景只是纯音频的，都需要主动关闭摄像头功能，避免在用户无感知的情况下打开摄像头导致的隐私泄漏问题。
2、当客户默认以纯音频形式推流，过程中可以打开摄像头，此时在登录房间的时候也需要主动关闭摄像头功能。",开关,隐私,开/关,,开,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,\,
音频功能,callExperimentalAPI,"""{\""method\"": \""liveroom.audio.set_device_latency_mode\"", \""params\"":{\""mode\"":%d}}",设备低延时模式,Android 音频设备低延迟开关,,status,"默认情况下，为了保证通话质量，引擎在使用音频采集&渲染设备的时候，会选择兼容性比较高的 API，如 AudioRecord 等，但是这类型 API 会存在延迟比较高的问题，因此提供了能力去指定使用低延迟的采集&渲染 API，如 Aaudio，缺点是兼容性比较差。
Android 音频设备低延迟模式，在老版本是通过 ""ultra_low_latency"" Config 进行控制的，但是这里会存在两个问题：
a. ""ultra_low_latency"" Config 仅能在启动引擎之前设置。针对有些场景，如实时合唱等，会存在需要在低延迟和非低延迟之前切回，才能有更好的兼容效果
b. ""ultra_low_latency"" Config 还会影响音频 Jitter 的调整策略，使之变化更加激进。这个在部分场景来说是不需要的，如非实时 KTV 场景。
因此引擎在新版本支持这个实验性 API，这个 API 支持在启动引擎过程中，切换低延迟和非低延迟采集&渲染 API 策略。
默认值为 -1，表示根据 ""ultra_low_latency"" Config 决定是否使用低延迟 API。0 表示不使用低延迟 API，1 表示会尝试使用低延迟 API。当设置成 0 和 1 时，将会忽略 ""ultra_low_latency"" Config。
1. 当实时合唱场景，需要使用这个 API 进行 Android 低延迟和非低延迟采集&渲染 API 策略。合唱用户需要指定为 1，要求使用低延迟采集&渲染 API 策略，非合唱用户需要指定为 0，要求使用非低延迟采集&渲染 API 策略。
2. 当部分场景，需要有较高的耳返延迟要求，如本地录唱场景，或者非实时 KTV 场景等。此时唱歌用户需要指定为 1，要求使用低延迟采集&渲染 API 策略，非唱歌用户需要指定为 0，要求使用非低延迟采集&渲染 API 策略。
⚠️ 使用注意事项：
虽然内部已经做了多年的兼容性处理，但是没法避免个别系统没有兼容到或者新版本系统更新导致的新的不兼容问题，所以除非对延迟有较高的要求，否则不推荐打开这个配置。",状态,耳返延迟/端到端延迟/兼容性,-1（默认，根据 ultra_low_latency Config 指定决定是否使用低延迟 API）/0（关）/1（开）,,0,,,2,\,0,\,0,\,,,\,
,"setAudioCaptureStereoMode
",,设置音频采集双声道模式,设置音频采集双声道模式,,mode,"默认情况下，引擎是单声道采集的。这里的单声道可能有两种情况：一、要求系统提供的内容就是单声道的（除 Android）。二、要求系统提供的内容是双声道的，但是只取其中一个声道的内容（Android，这个是对软件 AEC 的一种优化策略）。

1、当设备支持双声道的情况下，然后希望采集到的内容是双声道的，可以打开该功能。如外接声卡，或者 ASMR 设备。
2、使用该配置后，需要配套的设置编码声道数为2，否则无实际意义（采集双声道，编码单声道，最终观众听到的效果还是单声道）
⚠️注意：由于该配置只能在启动引擎的之前设置，所以一旦打开，不管什么情况下，都要求系统使用双声道采集（如果系统支持双声道采集，那么会返回两个内容不一样的声道数据，如果系统不支持双声道采集，那么会返回两个内容一样的声道数据）。Android 例外，为了保证 Android 端软件回声消除自适应声道采集优化的功能的正常运作，设置了该配置，Android 只会在外接设备的情况下才会使用双声道采集（因为没有外接设备，Android 设备的双声道效果是一般的，只有轻微的大小差异感觉，没有很明显的方向感觉）。",采集双声道模式,音质,None/Always,,None,,,Always,\,\,\,\,\,在业务可以明确分辨声卡的前提下配置该接口,,\,
,setAudioDeviceMode,,设置音频设备模式,音频设备模式设置,,mode,"该模式只有移动端有，主要的作用是控制麦上麦下连麦过程这三个场景下的音量模式和麦克风占用情况。详情见表格：https://doc.weixin.qq.com/sheet/e3_m_FrpBjxTDElcN?scode=AGUAdAcQAAkl2oZzHmAKUAIQbwAPA
音量模式：区分通话音量模式和媒体音量模式两种。通话音量模式音量不能调节成0，而媒体音量模式音量能调节成0。在通话音量模式下进行采集，说明此时系统 3A 功能是启动状态的；在媒体音量模式下进行采集，说明此时系统 3A 功能是关闭状态的。
当 iOS 系统 3A 功能在工作中，会对第三方播放器播放的音乐进行抑制。声音大概只有原来的10%～20%左右。

该功能现在支持中途修改。
AudioDeviceMode 在选择的使用，需要考虑的点：（主要关心音质、是否需要回采第三方播放器播放的内容、是否占用麦克风）
- ⾳质：如果对采集⾳质有⼀定要求的，如 KTV 场景，不能使用系统的 3A 功能，因为系统的 3A 功能对⾳质的损伤是⽐较明显的。如果仅需保证通话的质量，那么是推荐使用系统的 3A 功能。如语聊场景和实时通话场景。
- 性能：软件前处理是使⽤ CPU 处理的，性能占用还是不能忽略的。如果对性能有要求，如游戏开⿊场景或者虚拟世界的通话场景，推荐使⽤系统 3A 功能。
- 是否能将声⾳调节成0：正常场景，都希望⽤户能将声⾳调节成 0 的，除了教育场景（避免学⽣由于之前的误操作导致的系统⾳量为0⽽听不到声⾳的情况。）
- 是否占⽤⻨克⻛：如果没有上⻨就占有⻨克⻛，在产品⻆度，会认为这个是不合理的。这种情况下，就不能使⽤如 Com2 和 Gen3 等模式了。
- 是否频繁上下⻨：Android 通话⾳量和媒体⾳量的变化会导致当前播放的声⾳中断。iOS 也是⼀样的，但是 iOS 在占有⻨克⻛和释放⻨克⻛的时候，也会导致当前播放的声⾳中断。
- 是否需要使⽤第三⽅播放器播放声⾳：如果有，如教学场景，需要使⽤第三⽅播放器播放其他课件，此时声⾳是不能被抑制的，那么只能使⽤软件的前处理，但是这种情况下，就会有声⾳回采的问题，那么建议客户使⽤我们的播放器或者混⾳功能或者提供参考信号给我们进⾏回声消除
- 是否希望回采第三⽅播放器播放的内容：如果希望，只能使⽤软件的前处理，或者让客户使⽤我们的播放器或者混⾳功能。如果不希望，只能使⽤系统的前处理，或者让客户使⽤我们的播放器或者混⾳功能或者提供参考信号给我们进⾏回声消除。

一般常用的 AudioDeviceMode 有：Auto、General、General3、Communication2、Communication3。
秀场直播：Auto、General
KTV 场景：General
开黑语聊房：Communication2
普通语聊房、高音质语聊房：General
",音频设备模式,音质,Auto/General/General2/General3/Communication/Communication2/Communication3/Communication4,,看《createEngine》的 scenario 配置,,,General,General,General,General,General,General,K歌场景推荐General,,\,
,setAudioConfig,,设置音频编码格式,音频编码格式,,codeID,"- Default 根据 《createEngine》的 scenario 而取不同值。当 General、Live 的时候，为 Normal2；当 Communication 的时候，为 Low3。
- Normal HE-AAC
- Normal2 AAC-LC
- Normal3 MP3
- Low EVS
- Low2 SILK
- Low3 OPUS

一般情况下，我们只会使用 Normal、Normal2 和 Low3。下面简单描述3者的区别：
音质：Low3 在同等码率下，音质最优；在低码率（单声道64K以下，双声道128K以下）的情况下，Normal 音质比 Normal2 优；在高码率的情况下，Normal2 比 Normal 优。
兼容性：Low3 只支持私有协议 和 Web。Web 只支持 Low3。CDN 和小程序只支持 Normal 和 Normal2。Normal2 兼容性最好，有部分浏览器或者播放器不支持播放 Normal 格式的音频数据。
延迟：Low3 延迟最低，默认情况下视频端到端延迟为 200ms 左右。Normal2 延迟次之，默认情况下视频端到端延迟为 350ms 左右。Normal 延迟最高，默认情况下视频端到端延迟为 500ms 左右。（默认情况指的是不调整 jitterBuffer，即 《setPlayStreamBufferIntervalRange》 功能）
性能：Opus < Normal2 < Normal

1、当客户场景都是都走私有协议和 Web 的，使用 Low3。如语聊房、小班课、1V1聊天等。
2、当客户对连麦用户端到端延迟有极致的要求，只能使用 Low3。如实时 KTV。
3、当客户需要较低对码率，那么需要使用 Low3 或者 Normal（有 CDN 场景下）。
4、有 Web 的场景，建议使用 Low3
5、有 CDN 或小程序，但没有 Web 的场景，然后对连麦用户间端到端延迟没有很高对要求，建议使用 Normal2。
6、直推 CDN 必须使用 Normal 或者 Normal2。
7、当码率超过单声道64K或者双声道128K的情况，需要使用 Low3 或者 Normal2。
综合：需要使用 Low3 的就使用 Low3。Normal 和 Normal 的取舍，对音质和带宽成本都有要求的，只能使用 Normal。否则推荐使用 Normal2。",音频编码格式,推流音质,Default/Normal/Normal2/Normal3/Low/Low2/Low3,,Default,,,Low3,Low3,Low3,Low3,Low3,Low3,"1. 客户当前线上云控 3 套配置是 16（游戏）,48（语聊）,128（高音质），观众默认 48，下麦不需要主动修改码率，仅变成对应角色时修改对应码率即可
2. 辅路流配置仅合唱场景下需要配置",,"1. 没有小程序
 2. 有转推CDN用于内部音频审核",
,,,设置音频编码码率,音频编码码率配置,,bitrate,"码率越高，音质越好，但是相对的，带宽要求就要变高。如果保证通话，其实10+K的码率就满足的了。
所以一般情况下，不建议修改该值，除非是对音质有较高对要求，或者对带宽有苛刻的要求，才会修改该配置。

⚠️注意：下面的配置都是基于单声道编码配置下进行说明，如果为双声道，那么码率需要*2。
1、当需要高音质的，那么码率建议在 64K 或以上。如音乐场景。此时注意选择后 AudioCodeID
2、当对带宽有苛刻对要求，同时也仅需要保证通话质量，那么可以设置为 16K。如国外语聊房场景。",音频码率(kbps),音质,"Normal/Normal2:10-192k
Normal3:32-192k
Low:16.4/24.4/32/64k
Low2:8-16k
Low3:8-192k",,"Normal/Normal2:48k
Normal3:48k
Low:32k
Low2:16k
Low3:48k",,人声+伴奏，主路,128,128,48,48,\,\,,,\,
,,,设置音频编码码率,音频编码码率配置,,bitrate,"码率越高，音质越好，但是相对的，带宽要求就要变高。如果保证通话，其实10+K的码率就满足的了。
所以一般情况下，不建议修改该值，除非是对音质有较高对要求，或者对带宽有苛刻的要求，才会修改该配置。

⚠️注意：下面的配置都是基于单声道编码配置下进行说明，如果为双声道，那么码率需要*2。
1、当需要高音质的，那么码率建议在 64K 或以上。如音乐场景。此时注意选择后 AudioCodeID
2、当对带宽有苛刻对要求，同时也仅需要保证通话质量，那么可以设置为 16K。如国外语聊房场景。",音频码率(kbps),音质,"Normal/Normal2:10-192k
Normal3:32-192k
Low:16.4/24.4/32/64k
Low2:8-16k
Low3:8-192k",,"Normal/Normal2:48k
Normal3:48k
Low:32k
Low2:16k
Low3:48k",,人声，辅路流,128,128,\,\,\,\,,,\,
,,,设置音频编码声道数,音频编码声道数配置,,channel,"指定音频编码时的声道数量，当输入为单声道，编码输出为双声道时，那么会对输入的单声道内容进行拷贝，模拟成双声道。当输入为双声道，编码输出为单声道时，那么会对双声道输入的内容进行混音（mix）成单声道，然后进行单声道编码。
播放端统一都是使用双声道进行播放的。当拉流数据为单声道的情况，会对单声道的内容进行拷贝然后双声道播放。
音频码率是平均分配给双声道的，所以当输入是单声道时，编码输出双声道的情况，码率将要浪费在编同样的内容上。即 48K 码率对单声道内容编码成双声道，实际音质效果约等于 24K 码率对单声道内容编码成单声道。
因此当需要编码的内容并不是双声道的情况（两个声道不存在差异的），不建议使用双声道编码，这是一种浪费码率的行为。
编码内容可能是双声道的采集：一、声卡采集，此时需要打开《setAudioCaptureStereoMode》功能，否则采集内容是单声道。二、媒体播放器混音（当媒体播放器播放的内容是双声道的）。

1、当输入的内容是双声道的（两个声道是存在差异的），并且对输出音质要求较高的，此时才建议设置为双声道。此时对应的码率需要调节成之前基准的一倍。
2、其他场景建议为单声道。",声道数,音质,Mono/Stereo,,Mono,,人声+伴奏，主路,Stereo,Stereo,Mono,Mono,Mono,Mono,,,\,
,,,设置音频编码声道数,音频编码声道数配置,,channel,"指定音频编码时的声道数量，当输入为单声道，编码输出为双声道时，那么会对输入的单声道内容进行拷贝，模拟成双声道。当输入为双声道，编码输出为单声道时，那么会对双声道输入的内容进行混音（mix）成单声道，然后进行单声道编码。
播放端统一都是使用双声道进行播放的。当拉流数据为单声道的情况，会对单声道的内容进行拷贝然后双声道播放。
音频码率是平均分配给双声道的，所以当输入是单声道时，编码输出双声道的情况，码率将要浪费在编同样的内容上。即 48K 码率对单声道内容编码成双声道，实际音质效果约等于 24K 码率对单声道内容编码成单声道。
因此当需要编码的内容并不是双声道的情况（两个声道不存在差异的），不建议使用双声道编码，这是一种浪费码率的行为。
编码内容可能是双声道的采集：一、声卡采集，此时需要打开《setAudioCaptureStereoMode》功能，否则采集内容是单声道。二、媒体播放器混音（当媒体播放器播放的内容是双声道的）。

1、当输入的内容是双声道的（两个声道是存在差异的），并且对输出音质要求较高的，此时才建议设置为双声道。此时对应的码率需要调节成之前基准的一倍。
2、其他场景建议为单声道。",声道数,音质,Mono/Stereo,,Mono,,人声，辅路流,Mono,Mono,\,\,\,\,,,\,
,enableAGC,,音频采集AGC开关,音频采集自动增益开关,,enable,"默认情况下，麦克风采集的声音会根据系统或者采集API不一致而不一样。因此在调节声音的时候，A 手机的 100 采集音量和 B 手机的 100 采集音量可能会不一样。而 AGC 的作用就是将 A 手机和 B 手机的原始采集声音设置趋向目标值。
自动增益有两种策略：一、数字增益（PC端），通过调节系统的采集音量大小来达到放大和抑制的效果。二、模拟增益（移动端），通过对信号信息模拟的增益（乘以相关增益系数），来达到采集声音放大和抑制的效果。
为了避免声音突然变化过大，增益的过程一般需要耗时 1～5s。

1、一般不建议主动关闭该功能（引擎内部会根据情况启停该功能，当外部没有主动设置的情况）。
2、如果是唱歌场景，需要关闭该功能。该功能会使采集音量在一定的范围内，会导致高潮唱不上去的情况。
3、对于唱歌场景，如果客户需要比较简易的就能控制好采集和伴奏声音配比，那么可以打开 AGC 来将声音控制在比较固定的范围内。此时一般配合《agc_target_level》使用。

⚠️注意：在实时合唱场景，为了低延迟，Android会使用aaudio进行音频采集和渲染。由于Android厂商比较多，存在某些厂商 aaudio 采集声音偏小，因此需要主动打开agc 进行增益。",开关,音质,开/关,,开,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,\,
,setAECMode,,设置AEC模式,回音消除模式,,mode,"声音损伤情况：Aggressive > Medium > Soft
收敛耗时：Aggressive < Medium < Soft。收敛是确认采集的声音和参考信号偏移的过程，收敛过程越久，那么刚开始说话的时候，漏回声的概率就越高。
漏回声的概率：Aggressive < Medium < Soft。实测正常通过过程中，三种模式都不会出现漏回声的情况（除了在收敛过程中）。

1、不需要考虑音质的情况，建议使用默认 Aggressive，保证整个通话过程中无回声。如普通语聊房。
2、当有外放，然后外放声音较大的场景。需要使用 Soft。如 实时KTV 等音乐场景。
⚠️注意：上面说的音质，指的是双讲情况下的音质要求。如秀场直播场景，没有外放音乐的情况下，即使主播要求较高的音质效果，此时使用 Aggressive 也是没有问题的。因为此时没有满足双讲的场景，回声消除是不会起效的（没有参考信号）。然后这里也强调一下，双讲并不一定要有双端用户的存在，只有存在单端既采集又播放，那么就是双讲（麦克风会回采播放器播放的内容），如实时 KTV 场景，跟随伴奏唱歌的场景就是双讲场景。",回音消除模式,音质,Aggressive/Medium/Soft,,Aggressive,,音乐,Soft,Soft,Aggressive,Aggressive,\,\,,,\,
,setAECMode,,设置AEC模式,回音消除模式,,mode,,回音消除模式,音质,Aggressive/Medium/Soft,,Aggressive,,语聊,Aggressive,Aggressive,Aggressive,Aggressive,\,\,,,,
,setANSMode,,设置ANS模式,音频降噪模式,,mode,,音频降噪模式,音质,Aggressive/Medium/Soft,,Medium,,,Medium,Medium,Medium,Medium,\,\,,,,
,enableHeadphoneAEC,,插入耳机是否使用系统AEC开关,插入耳机是否使用系统回声消除,,enable,"在插入耳机的时候，是否需要使用系统的前处理（即通话音量模式）
false 表示不需要使用系统的前处理。即设置为 false 后，插入耳机只有一个效果，就是媒体音量。
true 表示当需要使用系统前处理的时候还是继续使用系统的前处理，不需要使用那么就不使用，按照 《AudioDeviceMode》 的指定。

1、对于要求音质的场景，都可以主动关闭该功能。",开关,音质,开/关,,关,开,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,\,
,setPlayStreamBufferIntervalRange,,设置拉流播放缓存自适应调整区间下限,拉流播放缓存自适应调整的区间范围设置,,minBufferInterval,"为了抵抗推流端上行和拉流端下行网络抖动，拉流端一般都会对拉流的内容进行缓冲，然后播放。缓冲内容的大小一般会根据当前网络的情况进行自适应调整。
引擎为了保证通话质量，所以会尽量减少端到端延迟，其中的策略就是有比较激进的缓冲区大小的调整。即网络即使存在周期行的波动，如果周期不是很大的情况下，引擎也会及时调整缓冲区大小置较低的值。
这个策略对于纯通话场景来说，影响几乎是没有感知的。因为人说话是断续的，然后即使偶尔的网络波动，表现也仅仅是轻微的卡顿，不影响内容的理解。
但是对于音乐场景，由于音乐是持续播放的，当出现网络抖动的情况，就会导致音乐断续，继而音乐快放。这个体验是比较差的。

minBufferInterval：
1、对于音乐场景，需要区分角色和音频编码格式进行适当的调节。如麦上用户，OPUS 建议 minBufferInterval 设置为 350ms，HE-AAC 建议 minBufferInterval 设置为 200ms，AAC-LC 建议 minBufferInterval 设置为 300ms。麦下用户统一将 minBufferInterval 设置为 500ms ～ 1000ms 即可。
2、对于音频卡顿数据有较高要求的用户，也可以按照上面的配置进行调整。

maxBufferInterval：
1、对端到端延迟有很高要求的，此时需要调节 maxBufferInterval。如实时 KTV 场景下，合唱用户之间拉流需要设置为 30ms。
2、其他情况下，使用默认值 4000 即可。（0、-1、4000）",缓存自适应区间下限,抗弱网/端到端延迟,0～maxBufferInterval,,-1,,合唱时,0,0,300,300,500,500,,,\,
,,,设置拉流播放缓存自适应调整区间上限,,,maxBufferInterval,,缓存自适应区间上限,抗弱网/端到端延迟,minBufferInterval～4000,,-1,,,30,30,4000,4000,4000,4000,,,\,
,setPlayStreamBufferIntervalRange,,设置拉流播放缓存自适应调整区间下限,拉流播放缓存自适应调整的区间范围设置,,minBufferInterval,,缓存自适应区间下限,抗弱网/端到端延迟,0～maxBufferInterval,,-1,,单唱以及语聊,300,300,\,\,\,\,,,,
,,,设置拉流播放缓存自适应调整区间上限,,,maxBufferInterval,,缓存自适应区间上限,抗弱网/端到端延迟,minBufferInterval～4000,,-1,,,4000,4000,\,\,\,\,,,,
多流对齐,setStreamAlignmentProperty,,设置精准对齐属性,推流端精准对齐属性设置,,property,"默认情况下，推流时使用的时间戳时从开始推流瞬间开启从零计算。即不同的推流推流时间戳时无法进行对比的。而流对齐必须要保证流的时间戳是可以对齐的。这种情况下，就需要使用 ntp 时间作为推流的时间戳了。
推流时间戳必须在推流开始之前确认好，推流过程中无法进行重置，除非停止推流重新推流。而 ntp 时间是需要网络同步的，这个是耗时操作。那么对于推流时 ntp 时间还没有同步好的情况下，推流会滞后到同步 NTP 时间成功。虽然这个概率是很低的，因为 ntp 时间同步耗时极短，均值在 300ms 左右。

1、推流需要对齐的场景下，需要设置为 1。如实时 KTV 场景
--周超豪",对齐属性,多流对齐,1（开）/0（关）,,0,,,1,1,0,0,0,0,,,"1. 当前场景线上需要版本更新完成以后再放开，因此没有新旧版本兼容的考量
 2. 此前没有过类似能力",
,forceSynchronousNetworkTime,,设置推流时强同步网络时间,推流时强同步网络时间设置,,int,"默认情况下，推流时使用的时间戳时从开始推流瞬间开启从零计算。即不同的推流推流时间戳时无法进行对比的。而流对齐必须要保证流的时间戳是可以对齐的。这种情况下，就需要使用 ntp 时间作为推流的时间戳了。
推流时间戳必须在推流开始之前确认好，推流过程中无法进行重置，除非停止推流重新推流。而 ntp 时间是需要网络同步的，这个是耗时操作。那么对于推流时 ntp 时间还没有同步好的情况下，推流会滞后到同步 NTP 时间成功。虽然这个概率是很低的，因为 ntp 时间同步耗时极短，均值在 300ms 左右。

1、推流需要对齐的场景下，需要设置为 1。如实时 KTV 场景
",同步模式,多流对齐,1（同步）/ 0（不同步）,,0,,,1,1,0,0,0,0,,,\,
,setPlayStreamsAlignmentProperty,,设置拉流端对齐属性,拉流端对齐属性设置,,property,"对于 KTV 场景，为了尽量优化观众端的效果体验，拉流端客户对需要对齐的流进行对齐处理。
原理：拉流端对需要对齐的流进行缓冲处理，然后根据需要根据流的时间戳进行调度出帧，然后再进行混音输出给系统。
拉流端会根据推流时间戳进行比较判断，如果推流时间戳差值超过2s，则不会进行对齐处理，还是走默认拉流逻辑。因此，
推流端得需要开启推流精准对齐（流时间戳采用ntp时间）, 拉流端精准对齐才会生效。

1、实时合唱 KTV 场景，然后观众拉单流的场景，需要将该配置设置为 Try。",对齐属性,多流对齐,Try/None,,None,,,None,None,Try,Try,Try,Try,,,同 setStreamAlignmentProperty,
当前线上的三档配置：,,,,"因此本参数配置表的主要思路主要就是在语聊房参数和高音质参数之间切换
配合针对音乐的专属配置一起使用",,,,,,,,,,,,,,,,,,,,
"游戏房间
16k，mono，gen2，low3
aec 1
aec_level 1
agc 0
ans 0
ans_level 0
dtx 1
vad 1
min_jitter_level default
headphone_aec 1",,"语聊房
48k，mono，com2，low3
aec 1
aec_level 1
agc 0
ans 0
ans_level 0
dtx 1
vad 1
min_jitter_level 300
headphone_aec 1","高音质
128k，stereo，gen，low3
aec 1
aec_level 1
ans 0
ans_level 0
agc 0
dtx 1
vad 0
min_jitter_level default/200
headphone_aec default",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
